,ID,x1,x2,x1^0x2^0,x1^0x2^1,x1^0x2^2,x1^1x2^0,x1^1x2^1,x1^1x2^2,x1^2x2^0,x1^2x2^1,x1^2x2^2
0,0,-2.0,-2.0,1.0,-4.000000000000001,14.000000000000004,-4.000000000000001,16.000000000000007,-56.00000000000003,14.000000000000004,-56.00000000000003,196.0000000000001
1,0,-1.6,-1.6,1.0,-3.2000000000000006,8.240000000000004,-3.2000000000000006,10.240000000000004,-26.368000000000016,8.240000000000004,-26.368000000000016,67.89760000000007
2,0,-1.2800000000000002,-1.2800000000000002,1.0,-2.560000000000001,4.553600000000003,-2.560000000000001,6.553600000000005,-11.657216000000012,4.553600000000003,-11.657216000000012,20.735272960000028
3,0,-1.0240000000000002,-1.0240000000000002,1.0,-2.048000000000001,2.1943040000000025,-2.048000000000001,4.194304000000004,-4.493934592000007,2.1943040000000025,-4.493934592000007,4.814970044416011
4,0,-0.8192000000000002,-0.8192000000000003,1.0,-1.6384000000000007,0.6843545600000023,-1.6384000000000005,2.6843545600000023,-1.1212465111040042,0.6843545600000009,-1.121246511104002,0.4683411637927958
5,0,-0.6553600000000002,-0.6553600000000003,1.0,-1.3107200000000008,-0.28201308159999816,-1.3107200000000006,1.7179869184000018,0.36964018631474976,-0.28201308159999905,0.369640186314751,0.07953137819352747
6,0,-0.5242880000000001,-0.5242880000000002,1.0,-1.0485760000000004,-0.9004883722239991,-1.0485760000000004,1.0995116277760009,0.9442304953931525,-0.9004883722239996,0.944230495393153,0.8108793085106281
7,0,-0.4194304000000001,-0.4194304000000002,1.0,-0.8388608000000006,-1.296312558223359,-0.8388608000000003,0.7036874417766408,1.087425789641294,-1.2963125582233597,1.0874257896412949,1.6804262486075905
8,0,-0.33554432000000006,-0.3355443200000002,1.0,-0.6710886400000005,-1.54964003726295,-0.6710886400000002,0.4503599627370501,1.0399458250963427,-1.5496400372629502,1.0399458250963434,2.4013842450883174
9,0,-0.268435456,-0.2684354560000001,1.0,-0.5368709120000003,-1.711769623848288,-0.5368709120000001,0.28823037615171193,0.9189993190893276,-1.711769623848288,0.9189993190893277,2.9301552451297095
10,0,-0.2147483648,-0.21474836480000012,1.0,-0.4294967296000003,-1.8155325592629044,-0.4294967296000001,0.1844674407370957,0.7797652966857358,-1.8155325592629044,0.7797652966857361,3.2961584737437115
11,0,-0.17179869184,-0.1717986918400001,1.0,-0.34359738368000026,-1.8819408379282587,-0.34359738368000003,0.11805916207174123,0.6466299481526967,-1.881940837928259,0.6466299481526971,3.541701317462117
12,0,-0.13743895347199997,-0.13743895347200008,1.0,-0.2748779069440002,-1.9244421362740856,-0.27487790694399994,0.07555786372591436,0.5289866264538605,-1.9244421362740858,0.5289866264538612,3.7034775358671665
13,0,-0.10995116277759996,-0.10995116277760007,1.0,-0.21990232555520017,-1.9516429672154147,-0.21990232555519992,0.04835703278458519,0.4291708271441205,-1.951642967215415,0.429170827144121,3.808910271481389
14,0,-0.08796093022207996,-0.08796093022208007,1.0,-0.17592186044416017,-1.9690514990178654,-0.17592186044415994,0.030948500982134527,0.34639920301758487,-1.9690514990178656,0.3463992030175853,3.877163805784503
15,0,-0.07036874417766396,-0.07036874417766406,1.0,-0.14073748835532815,-1.9801929593714338,-0.14073748835532796,0.0198070406285661,0.27868738356083955,-1.980192959371434,0.27868738356084,3.9211641563441972
16,0,-0.05629499534213117,-0.056294995342131254,1.0,-0.11258999068426254,-1.9873234939977176,-0.11258999068426236,0.012676506002282305,0.22375273367581874,-1.9873234939977178,0.22375273367581913,3.949454669795297
17,0,-0.04503599627370493,-0.045035996273705005,1.0,-0.09007199254741001,-1.9918870361585392,-0.09007199254740987,0.008112963841460671,0.17941323427615427,-1.9918870361585392,0.17941323427615455,3.96761396481645
18,0,-0.036028797018963936,-0.036028797018964005,1.0,-0.07205759403792802,-1.9948077031414653,-0.07205759403792789,0.005192296858534831,0.14374104365669907,-1.9948077031414653,0.14374104365669935,3.979257772512528
19,0,-0.028823037615171142,-0.028823037615171205,1.0,-0.05764607523034242,-1.9966769300105378,-0.05764607523034229,0.0033230699894622904,0.11510058851807635,-1.9966769300105378,0.1151005885180766,3.986718762836306
20,0,-0.02305843009213691,-0.023058430092136966,1.0,-0.04611686018427394,-1.997873235206744,-0.046116860184273835,0.002126764793255866,0.09213564065393225,-1.997873235206744,0.09213564065393245,3.9914974639554623
21,0,-0.018446744073709522,-0.018446744073709574,1.0,-0.036893488147419155,-1.9986388705323161,-0.036893488147419044,0.0013611294676837537,0.073736759480955,-1.9986388705323161,0.07373675948095522,3.9945573348026926
22,0,-0.014757395258967614,-0.01475739525896766,1.0,-0.029514790517935326,-1.9991288771406823,-0.029514790517935232,0.0008711228593176022,0.05900387002716232,-1.9991288771406823,0.05900387002716251,3.9965162674177654
23,0,-0.011805916207174088,-0.011805916207174128,1.0,-0.02361183241434826,-1.9994424813700367,-0.023611832414348177,0.0005575186299632652,0.047210500792237785,-1.9994424813700367,0.04721050079223795,3.9977702363071694
24,0,-0.009444732965739267,-0.009444732965739304,1.0,-0.01888946593147861,-1.9996431880768235,-0.018889465931478538,0.00035681192317648974,0.03777219187629029,-1.9996431880768235,0.03777219187629043,3.9985728796220426
25,0,-0.00755578637259141,-0.007555786372591443,1.0,-0.01511157274518289,-1.999771640369167,-0.015111572745182824,0.00022835963083295334,0.03021969461719225,-1.999771640369167,0.030219694617192382,3.999086613624789
